Analog,Temp_C
181,58
178,57
175,56
171,55
168,54
165,53
162,52
159,51
156,50
153,49
150,48
147,47
143,46
140,45
137,44
134,43
131,42
128,41
125,40
122,39
119,38
115,37
112,36
109,35
106,34
103,33
100,32
98,31.5
97,31
94,30
91,29
87,28
84,27
81,26
78,25
75,24
72,23
69,22
66,21
63,20
59,19
56,18
53,17
50,16
47,15
44,14
41,13
38,12
35,11
31,10
28,9
25,8
22,7
19,6
16,5
13,4
10,3
7,2
3,1
0,0
